Area (sq km),0.69
Number of species,375
Number of species - spatially valid only,375
Occurrences,"1,132"
Occurrences - spatially valid only,"1,132"
Expert distributions,0
Checklist areas,0
Checklist species,0
Journalmap documents,0
Gazetteer points,0
Points of interest,0
Invasive Species,5
Threatened Species,0
Scottish Rural Development Programme,7
Scottish Biodiversity List,16
RSPB Priority Species,5
"Convention on Migratory Species, African-Eurasian Waterbirds Agreement - Annex II",7
Birds Directive - Annex 1,0
Habitats Directive Annex 2 - Non-priority species,375
Habitats Directive Annex 2 - Priority species,0
OSPAR,5
A review of the scarce and threatened stoneflies (Plecoptera) of Great Britain,7
A review of the scarce and threatened beetles of Great Britain - The leaf beetles and their allies,0
A review of the Orthoptera (grasshoppers and crickets) and allied species of Great Britain,16
A review of the Non-Marine Mollusca of Great Britain,0
"A review of the millipedes (Diplopoda), centipedes (Chilopoda) and woodlice (Isopoda) of Great Britain",0
A review of the Hemiptera of Great Britain -The Aquatic and Semi-aquatic Bugs,0
A review of the beetles of Great Britain- The Soldier Beetles and their allies,0
A review of the beetles of Great Britain- The Darkling Beetles and their allies,0
 Protection of Badgers Act (1992),5
Nationally Notable,0
Nationally Notable A,6
Nationally Notable B,0
Biodiversity Action Plan UK list of priority species,0
Birds of Conservation Concern 5 (December 2021) - Amber,6
Biodiversity Lists - England - NERC S.41,9
Biodiversity Lists - Wales NERC S.42,6
Birds of Conservation Concern 5 (December 2021) - Red,6
Red list Waiting List,1
Nationally Scarce. Includes Red Listed taxa,5
Nationally Rare. Includes Red Listed taxa,0
Nationally Scarce Marine Species,0
Nationally rare marine species,0
Invasive species of special concern,7
Isle of Man Wildlife Act 1990 Schedule 5 species,0
Isle of Man Wildlife Act 1990 Schedule 7 species,7
Isle of Man Wildlife Act 1990 Schedule 1,6
Isle of Man Wildlife Act 1990 Schedule 6,2
Isle of Man Wildlife Act Schedule 8,1
Wildlife and Countryside Act 1981 - Schedule 9 (GB),1
Northern Ireland Priority Species,14
The Wildlife (Northern Ireland) Order 1985 â€“ Schedule 9,2
Breeding Bird Post 2001 Conservation Status - Critically Endangered,0
Breeding Bird Post 2001 Conservation Status - Critically Endangered (possibly extinct),0
Breeding Bird Post 2001 Conservation Status - Data Deficient,0
Breeding Bird Post 2001 Conservation Status - Endangered,1
Breeding Bird Post 2001 Conservation Status - Extinct,0
Breeding Bird Post 2001 Conservation Status - Least Concern,23
Breeding Bird Post 2001 Conservation Status - Near Threatened,5
Breeding Bird Post 2001 Conservation Status - Regionally Extinct,0
Breeding Bird Post 2001 Conservation Status - Vulnerable,5
Non-Breeding Bird Post 2001 Conservation Status - Critically Endangered,0
Non -Breeding Bird Post 2001 Conservation Status - Data Deficient,0
Non-Breeding Bird Post 2001 Conservation Status - Endangered,1
Non-Breeding Bird Post 2001 Conservation Status - Least Concern,3
Non-Breeding Bird Post 2001 Conservation Status - Near Threatened,1
Non-Breeding Bird Post 2001 Conservation Status - Vulnerable,0
species_list_uid:dr2170,0
"Bern Convention - Appendix 1, Appendix 2 and Appendix 3 combined",15
"Birds Directive Annex 1, Annex 2.1 and Annex 2.2 - combined",13
Wildlife and Countryside Act 1981 (Schedule 5) England and Wales,0
Convention on Migratory Species - Appendix 1 and Appendix 2 Bonn Convention,6
"EC CITES - Annexes A, B, C and D combined",7
Birds of Conservation Concern (December 2015) Amber/Red,0
Habitats Directive - Annex 4 and Annex 5 combined,0
"The Conservation (Nature Habitats, etc.) Regulations (Northern Ireland) 1995, amended 2004 - Schedule 2, Schedule 3 and Schedule 4 combined",0
"The Conservation of Habitats and Species Regulations 2010 - Schedule 2, Schedule 4 and Schedule 5, combined",0
The Wildlife (Northern Ireland) Order 1985 - Schedule 1 part I and Schedule 1 part II,5
"Wildlife (Northern Ireland) Order (1985) - Schedule 8, part I and part II",0
Wildlife (Northern Ireland) Order (1985) - Schedule 5,1
"Wildlife and Countryside Act 1981 - Schedule 1, Part I and Part II combined",1
Wildlife and Countryside Act 1981 - Schedule 8,1
Convention on Migratory Species - EUROBATS Annex 1,0
Convention on Migratory Species - ASCOBANS,0
Red List GB post 2001 -  Vulnerable - based on IUCN guidelines,1
Red List GB post 2001 - Critically Endangered  - based on IUCN guidelines,0
Red List GB post 2001 - Critically Endangered (Possibly Extinct)  based on IUCN guidelines,0
Red List GB post 2001 - Data Deficient - based on IUCN guidelines,3
Red List GB post 2001 - Endangered - based on IUCN guidelines,3
Red List GB post 2001 - Extinct - based on IUCN guidelines,0
Red List GB post 2001 - Extinct in the Wild - based on IUCN guidelines,0
Red List GB post 2001 - Least Concern - based on IUCN guidelines,282
Red List GB post 2001 - Near Threatened - based on IUCN guidelines,4
Red List GB post 2001 - Not Evaluated - based on IUCN guidelines,1
Red List GB Post 2001 - Red list conservation status of GB species EXCLUDING BIRDS - based on IUCN guidelines,292
Red List GB post 2001 - Regionally Extinct - based on IUCN guidelines,0
Algae,0
Amphibians,1
Angiosperms,0
Animals,83
Arthropods,40
Bacteria,0
Birds,35
Bryophytes,1
Chromista,0
Crustaceans,0
Dicots,0
FernsAndAllies,19
Fish,0
Fungi,68
Gymnosperms,0
Insects,39
Mammals,2
Molluscs,0
Monocots,0
Plants,224
Protozoa,0
Reptiles,0
